# 1station, 2Longitude, 3Latitude, 4NumberOfMeasurements, 5ResultantLength, 6FastDirection(EastOfNorth), 7DelayTime, 8StdOfDelayTime
     11369, -115.62350,   33.03700,          6,     0.79,    -15.3,    0.195,    0.085
     12102, -116.95920,   33.78690,          4,     0.98,    -61.5,    0.126,    0.024
     12331, -116.97970,   33.72890,          4,     0.73,      8.0,    0.071,    0.064
     12673, -116.95920,   33.78730,          2,     1.00,    -85.5,    0.333,    0.000
     12923, -116.93220,   33.74480,          4,     1.00,     -6.5,    0.076,    0.057
     13068, -117.74210,   33.86330,          2,     1.00,     88.5,    0.025,    0.000
     13080, -117.25200,   33.96900,          2,     1.00,     19.5,    0.028,    0.000
     13849, -117.81800,   33.85340,          2,     1.00,    -82.5,    0.092,    0.000
     13873, -117.89630,   33.93310,          2,     1.00,     82.5,    0.190,    0.000
     13878, -117.88700,   33.88910,          6,     0.92,    -12.5,    0.193,    0.188
     13879, -117.95910,   33.86630,          6,     0.68,      5.7,    0.109,    0.033
     13880, -117.93110,   33.90860,          6,     0.77,     23.9,    0.028,    0.005
     13881, -117.95570,   33.93150,          8,     0.81,      4.5,    0.089,    0.028
     13882, -117.80340,   33.92740,          2,     1.00,     53.5,    0.030,    0.000
     13883, -117.85780,   33.85340,          2,     1.00,     38.5,    0.142,    0.000
     14405, -118.35690,   33.78720,         68,     0.48,      1.0,    0.136,    0.110
     22791, -116.87240,   34.24110,          2,     1.00,     51.5,    0.025,    0.000
     23138, -117.45400,   34.12500,          4,     0.95,     -6.0,    0.054,    0.055
     23163, -117.54000,   34.12300,          2,     1.00,    -35.5,    0.033,    0.000
     23173, -117.81400,   34.00200,          2,     1.00,     65.5,    0.075,    0.000
     23732, -117.33100,   34.22390,         60,     0.61,    -56.0,    0.148,    0.112
     23837, -117.78500,   34.06250,          2,     1.00,      7.5,    0.083,    0.000
     23843, -117.95120,   34.03630,          2,     1.00,     52.5,    0.124,    0.000
     23938, -117.86570,   34.02090,          2,     1.00,     54.5,    0.068,    0.000
     24400, -118.17800,   34.03700,          8,     0.76,    -43.5,    0.050,    0.039
     24817, -118.47960,   34.05850,          2,     1.00,     45.5,    0.113,    0.000
     24851, -118.34600,   34.07000,         44,     0.16,    -76.5,    0.135,    0.133
     24853, -118.28650,   34.07740,         52,     0.24,      2.7,    0.118,    0.085
     25131, -119.19800,   34.15070,          6,     1.00,     -0.5,    0.050,    0.087
     25392, -119.84720,   34.41500,          2,     1.00,    -28.5,    0.070,    0.000
      5030, -117.99099,   34.52149,        190,     0.34,     -6.0,    0.065,    0.081
      5062, -115.61564,   33.17747,       2660,     0.46,     19.0,    0.053,    0.058
      5081, -118.59900,   34.08377,         30,     0.09,    -51.5,    0.121,    0.060
      5271, -115.73325,   33.35262,        750,     0.60,     10.0,    0.085,    0.045
      5398, -118.35340,   34.19551,          4,     0.53,     54.5,    0.026,    0.012
      5399, -118.41390,   33.94382,        160,     0.46,      0.5,    0.114,    0.069
      5401, -118.91807,   34.39727,          2,     1.00,    -33.5,    0.105,    0.000
      5402, -118.39590,   34.07618,         68,     0.20,     26.0,    0.110,    0.060
      5403, -119.29874,   34.39697,         46,     0.44,     83.0,    0.075,    0.062
      5442, -116.94032,   34.04905,       1142,     0.27,    -13.5,    0.121,    0.082
      5443, -116.31079,   33.84447,          2,     1.00,    -49.5,    0.182,    0.000
      5444, -116.09534,   33.63461,          4,     0.88,     11.5,    0.290,    0.311
      5445, -119.02794,   35.06131,         22,     0.06,    -54.0,    0.186,    0.157
      5480, -118.42573,   34.70312,          6,     0.60,      5.5,    0.121,    0.033
      5492, -118.36044,   34.20011,         16,     0.91,     27.5,    0.067,    0.008
      5499, -118.42066,   33.94046,        100,     0.67,     17.3,    0.111,    0.053
       ADO, -117.43391,   34.55046,         20,     0.51,      3.5,    0.068,    0.051
       AGA, -116.40110,   33.63838,         44,     0.30,     89.5,    0.059,    0.053
       AGO, -118.76699,   34.14647,         52,     0.30,    -30.3,    0.078,    0.059
       ALP, -118.29946,   34.68708,         40,     0.53,      6.0,    0.032,    0.026
       ARG, -117.48060,   36.08370,         16,     0.07,      0.5,    0.055,    0.121
       ARV, -118.83009,   35.12690,        350,     0.13,    -45.0,    0.177,    0.114
       BAC, -117.04060,   33.61220,        468,     0.62,    -49.0,    0.087,    0.056
       BAI, -118.77335,   34.77695,          4,     0.14,     62.5,    0.040,    0.032
       BAK, -119.10445,   35.34444,        184,     0.79,     25.0,    0.116,    0.088
       BAR, -116.67215,   32.68005,        348,     0.57,    -41.5,    0.086,    0.054
       BBA, -118.35340,   34.19551,         14,     0.63,      0.5,    0.015,    0.020
       BBB, -115.73325,   33.35262,        176,     0.10,     14.0,    0.097,    0.060
       BBR, -116.92075,   34.26230,       2190,     0.63,     -3.0,    0.074,    0.078
       BBS, -116.98058,   33.92139,       2590,     0.38,     -7.0,    0.158,    0.106
       BCC, -117.26119,   33.57508,        104,     0.50,    -24.0,    0.079,    0.068
       BCW, -119.41313,   34.94009,         76,     0.37,    -32.0,    0.130,    0.096
       BEL, -115.99820,   34.00060,         80,     0.53,     21.1,    0.121,    0.063
       BFS, -117.65853,   34.23883,        576,     0.24,    -70.0,    0.089,    0.093
       BHP, -118.48830,   37.30000,        756,     0.54,     20.0,    0.130,    0.070
       BLA, -116.38896,   34.06948,       1256,     0.33,     45.0,    0.099,    0.115
      BLA2, -116.38993,   34.06931,       1344,     0.50,      8.0,    0.108,    0.064
       BLC, -118.67312,   34.24356,         44,     0.33,     -3.0,    0.152,    0.139
       BOM, -115.72963,   33.36465,        758,     0.08,    -58.0,    0.112,    0.071
       BOR, -116.41716,   33.26820,       7220,     0.47,     -2.0,    0.095,    0.086
       BR2, -115.54936,   32.97899,         98,     0.83,     28.0,    0.175,    0.057
       BRE, -117.98116,   33.80776,         46,     0.51,     10.5,    0.143,    0.139
       BTP, -118.57398,   34.68224,        156,     0.15,    -62.0,    0.077,    0.080
       BVH, -118.39590,   34.07618,         36,     0.30,     16.4,    0.085,    0.041
       BZN, -116.66700,   33.49150,      13872,     0.37,     48.0,    0.103,    0.078
       CAB, -118.64093,   34.15573,         20,     0.24,     46.0,    0.080,    0.051
       CAC, -118.12199,   34.13678,         22,     0.62,     43.0,    0.098,    0.054
      CALB, -118.62839,   34.14010,         16,     0.92,     -6.5,    0.099,    0.047
       CAP, -117.19495,   33.38822,         14,     0.75,     85.0,    0.107,    0.102
       CAR, -119.84583,   35.30819,         26,     0.64,    -32.5,    0.104,    0.047
       CBC, -118.12750,   34.14011,         34,     0.46,     40.1,    0.092,    0.049
       CBX, -116.66360,   32.31310,         12,     0.39,    -77.5,    0.202,    0.087
       CCA, -118.01649,   35.15252,          6,     0.26,     -7.4,    0.023,    0.010
       CCC, -117.36453,   35.52495,         50,     0.47,     45.5,    0.070,    0.058
       CFS, -117.28287,   34.10539,        338,     0.60,      5.0,    0.121,    0.071
       CFT, -117.11241,   34.03547,       1150,     0.41,     45.0,    0.128,    0.084
